"mz","time","rep1","rep2","rep3"
191.1040311,1.065858483,39037.37109,0,5301.73291
103.0750882,1.700336516,5611.954102,1881.135132,0
131.1065553,1.706762537,33309.51172,5476.101563,0
166.1436313,1.706762537,155400.7656,7463.945313,0
180.1591387,1.706762537,13235.29785,6270.619141,0
217.1070041,1.706762537,28550.93945,9977.416016,0
309.2034272,2.217190027,48152.03516,14654.86035,4544.207031
74.06008002,2.224375,230303.9219,41856.06641,42063.20313
209.1143097,2.42702502,10844.38184,2260.681641,0
102.0410394,2.434775054,0,13286.92871,14138.90137
107.0309204,2.434775054,0,53761.5,16153.74414
177.0068521,2.434775054,0,18079.94141,4267.585449
102.0507134,2.444091618,0,4222.859863,6271.076172
157.0833898,2.704549988,24700.22656,11731.9707,2322.718262
116.070511,2.711401771,56511.50781,20220.58594,13531.43555
169.1220359,2.711401771,110546.9844,12670.15918,5307.813965
173.0781992,2.711401771,20607.84766,10851.33398,10204.95215
195.0874988,2.711401771,47963.86328,36442.69922,33244.07422
240.1648631,3.151469886,7467.092773,1626.03772,0
120.9807643,3.18574663,34025.10547,18835.48047,28661.83203
74.0964684,3.194365015,902909.5,10319.61426,42518.09766
185.1144857,3.673106591,21028.4043,7744.556152,1990.208984
115.5570529,4.150105069,13415.15137,8249.129883,7768.444824
197.0405085,4.160133362,8852.75,14277.35742,12199.5957
237.145833,4.60430479,8869.176758,2863.659424,0
102.5322889,4.672023257,43990.94141,37524.23438,37953.57813
86.05998762,5.119725058,12619.49902,13981.4082,14156.65234
115.0752765,5.142450015,38607.72656,6256.688477,6098.512695
186.0070916,5.144516746,11459.28223,6344.770996,1356.276733
146.0296691,6.077070038,6894.632324,3001.313232,4886.143066
117.0908446,6.559638292,28950.41211,12066.05762,4401.803223
232.9280503,6.571460048,7999.533691,2960.90918,2480.20752
104.5233054,6.597738862,10029.90918,2747.595215,6056.956055
113.0959348,6.6030732,10831.60156,2494.667236,2143.802734
158.1537048,6.825765133,0,31552.52344,15153.60938
275.9781901,6.97006005,54942.91016,0,38403.02344
118.0861136,7.061996619,2333.125488,6652.424805,5274.02832
181.0282351,7.489585161,5728.156738,2492.842041,0
156.013943,7.592208376,15177.88379,7393.182129,10941.77148
109.521615,8.076730092,39728.78125,94517.00781,62335.59375
99.04409983,8.085516612,14802.98535,3295.418213,3348.634033
95.04381333,8.200509032,178245.4063,115787.5313,134594.1875
102.0338428,8.200509032,3885063.5,3114769.25,3023359.75
74.03352878,8.52887245,10194.82227,2885.46582,4270.671387
109.1011537,8.537733396,9282.522461,2321.853027,1835.139771
159.9689932,8.557896455,64472.96875,131554.1719,118116.7266
74.53062089,8.562865535,26402.85938,4086.204102,7883.437012
90.5069859,8.577039838,30084.65039,3204.841553,15126.33301
94.54556122,8.703942259,155261.8125,103743.1406,106966.5625
199.0937054,8.941994667,7402.512695,1666.242798,0
137.0133064,9.019865036,0,59135.51172,58600.17578
157.9737326,9.05499649,5022.680176,6971.577148,5902.390625
101.0710587,9.483638277,81812.34375,11627.41309,44138.71484
162.0071205,9.539008607,18384.00391,9789.729492,14629.05078
89.00829748,9.570843379,21434.30664,9525.759766,8608.96582
213.0180667,9.62834994,65494.53906,134356.5156,104312.6406
81.52054786,9.668709934,0,193944.5156,400251.375
111.0803226,10.40737987,13134.09082,1820.51416,0
140.961539,10.52721659,7635.874512,3450.386963,4236.355469
202.9795832,10.91869147,12062.37207,4356.232422,10592.47949
82.53712752,10.98069994,89426.59375,12296.75684,30931.30078
114.5582763,10.991467,50762.45703,89240.08594,62290.14844
70.01269348,11.01876005,90384.10156,5522.257324,14639.58398
95.54546041,11.02227306,12743.38867,6489.270996,9718.25293
148.0182921,11.02933959,14549.1582,7831.670898,8124.283203
169.0933719,11.11183476,11841.37891,2468.197266,0
180.0379466,11.21756506,0,46182.6875,26243.0625
148.9755323,11.45603163,25499.0918,9922.90918,20381.4043
88.50908362,11.52591006,29488.46875,16152.94336,16028.50293
73.53185433,11.57444012,245444.9375,32632.13281,66161.125
92.52225972,11.58323352,6522.210449,1346.693115,2438.520752
97.06478234,11.95104027,14942.02344,1881.628906,2713.165283
152.9971829,11.96973847,16093.00293,5714.29248,12974.66211
139.0114697,12.67631483,0,17681.98828,27001.75977
82.53711739,12.98137315,89426.59375,12504.14844,30198.2832
128.0191085,13.0731767,95507.54688,34114.77344,35393.79297
143.0394176,13.08256559,49763.00391,24659.11523,14100.53613
101.0598442,13.36455329,88144.67969,7760.869629,9914.107422
82.02231406,13.4636399,57351.13281,10318.28809,18599.98633
155.9741522,13.47990032,6761.927734,3693.324951,1590.673462
90.50696677,14.0513099,30800.46289,4886.752441,14146.85352
143.9967243,14.0513099,271469.375,89818.05469,105831.5313
118.9425848,14.10616016,0,3157.96875,6511.771973
81.52430352,14.30214977,7759.478516,0,1985.584961
87.0440667,14.36177349,32783.78125,2937.69165,2185.839844
171.0342816,14.47274029,18305.31641,13021.60742,7864.052246
187.9637398,14.50327651,4223.658203,10959.77246,14445.52637
154.4855198,14.53831005,35463.61328,9992.148438,19525.16406
171.9915598,14.84370645,139342.6094,59471.12891,111893.6875
174.9847003,14.93397649,5806.073242,3272.749756,3624.310059
115.0170549,14.9601771,1313.69873,23320.35352,7800.239746
139.9630592,14.96950658,12755.39453,3979.406006,7154.870117
79.01785783,14.97534021,69590.10938,5371.686035,9905.089844
234.9515226,15.43880665,14792.62207,1736.592163,4889.467285
252.9620363,15.43880665,41480.06641,6752.71582,21763.15625
99.51229558,15.88230006,22436.21484,2658.184082,11040.00977
83.03761538,15.89956665,12631.02148,2943.951172,3929.927246
199.0292138,16.1459767,70677.21094,56976.25,43953.62109
73.06483488,16.31629006,69819.19531,5573.825684,2595.011719
207.9850903,16.38616558,46746.70703,21353.38477,32180.66211
199.0291858,16.45333354,35079.84766,46361.21094,43953.62109
100.0243629,16.52069998,9224.867188,0,2219.387207
104.0301256,16.75824257,90457.46875,59355.49219,68166.97656
83.06495862,16.84943358,4572.207031,13095.17383,7737.338867
91.0275205,16.8907067,17818.91992,4246.29541,6874.953613
102.5322933,16.98854351,50980.66016,37524.23438,33547.80078
97.51435412,17.01810996,7571.844238,2253.767822,4955.151367
91.50471457,17.3725764,10906.37012,1784.213257,5007.523926
70.01269101,17.4260664,100266.9531,5522.257324,13140.97949
90.52585159,17.4602766,345312.9063,70194.41406,136702.1563
82.02231535,17.49433994,65324.62109,10318.28809,18599.98633
239.161399,17.75003986,76491.10156,9676.985352,4973.879883
102.0486389,17.7889142,0,5732.347656,7521.563477
178.0398159,17.7889142,0,105345.7422,61706.09375
81.52056402,17.94637648,1145929.125,256510.6719,413991.8125
167.9983863,17.98714002,9987.375,4599.004883,8023.72168
287.8886077,17.99241034,14269.9209,24529.31836,18885.20898
208.0391405,18.27924248,122627.3672,38111.90625,23167.22656
102.0389688,18.41549969,0,14607.23145,18085.08984
142.9617037,19.00411002,7075.160156,3355.311523,6328.626953
94.04511097,19.07104868,1388730.625,0,887330.5625
129.0198829,19.25603326,9172.142578,3277.208496,4651.481445
87.08040427,19.27243328,6419.750977,2141.231689,1338.11084
89.50397044,19.42005014,5822.430176,0,4717.88916
309.2035536,19.71639983,32722.14648,9520.494141,3536.784912
121.9661801,19.88316663,8039.741699,2113.793213,2181.555908
