"","x"
"85.02772_283",391
"86.09587_91.9",334
"86.51708_191",672
"87.04345_247.5",402
"87.50889_208.1",996
"87.52502_230.3",892
"88.075_540.3",1535
"88.5085_401.5",323
"88.5279_36.5",771
"89.00774_373.2",578
"89.05907_260",1017
"89.46394_184.7",1104
"89.50613_391.9",465
"90.00781_392.4",959
"90.02783_221.9",510
"90.09067_187.8",208
"90.50633_399.1",229
"90.52532_321.6",219
"90.97607_39",282
"91.00795_407.5",1721
"91.02295_37.2",1093
"91.04421_34.9",381
"91.50405_407.9",214
"92.00543_438.3",385
"92.03946_35.2",788
"92.50286_396.3",328
"92.52163_265",686
"93.52478_245.5",363
"94.04448_37",203
"94.50333_164.6",317
"95.01541_59.3",818
"95.02347_32.7",555
"96.05561_283.1",2612
"96.51404_401.5",259
"96.9212_41.9",419
"97.00038_35.2",316
"97.51377_406.4",315
"97.96834_562.5",292
"97.99082_308.8",294
"98.01297_384.7",221
"98.09578_353.4",372
"98.51141_396.5",261
"98.91827_42",300
"98.96043_553.8",341
"98.98354_377.7",761
"98.99402_203.7",489
"99.009_401",1133
"99.05463_47",642
"99.05463_377.9",628
"99.51162_411",253
"99.53054_277.9",1183
"99.95855_169.2",547
"99.98669_42.2",945
"100.02807_270.2",2268
"100.05802_385.1",1151
"100.05805_48.1",531
"100.07509_379.3",778
"100.0751_56.6",943
"100.11136_375.8",584
"100.5093_397.7",439
"100.91635_42.9",205
"101.01076_447.5",344
"101.05906_254.4",1225
"101.11474_368.2",461
"101.50813_544.1",425
"101.98353_208.1",725
"102.03334_38.5",978
"102.04579_54.5",1075
"102.0543_368.5",273
"102.06558_45.6",369
"102.09071_364.7",285
"102.11811_541.3",227
"102.12704_551.8",419
"102.94203_541.1",292
"103.05365_52.9",418
"103.07474_81.6",235
"103.09402_257.5",658
"103.13047_257.3",315
"104.01571_532.6",367
"104.03637_326.2",209
"104.07_377.2",255
"104.07001_45.8",631
"104.10641_43.7",230
"105.0442_543.9",179
"105.06927_298.3",396
"105.10344_43.1",270
"105.10972_42.4",296
"105.51931_425.9",445
"105.9532_557.9",670
"106.02262_43.4",605
"106.05198_352.7",221
"106.06453_507.5",313
"106.10677_42.4",320
"106.95003_39.9",298
"107.01907_169.4",550
"107.04844_265",181
"107.05982_459.1",208
"107.06987_375.7",291
"107.07236_558.2",263
"107.085_546.1",320
"107.54042_246",289
"108.0144_473.9",261
"108.0437_158.6",840
"108.06761_328.7",256
"108.08019_558.6",385
"108.47814_220.5",269
"108.94806_44.8",515
"108.97768_171.3",848
"109.00995_522.2",497
"109.02171_394.5",216
"109.06143_526.5",1179
"109.06418_266.9",382
"109.07542_52.7",268
"109.08369_531.7",251
"109.10052_381.5",1486
"109.47834_159.2",1124
"109.52105_395.8",2203
"109.97807_109.7",297
"110.00772_386.6",1385
"110.00801_31.5",231
"110.01939_395",308
"110.05928_272.4",1175
"110.07074_56.5",400
"110.07884_528.2",257
"110.52114_423.6",295
"111.00048_558.1",1519
"111.00899_35.5",317
"111.01959_397.6",197
"111.03865_35.6",461
"111.05467_256.4",337
"111.07993_384.9",664
"111.1162_250.8",418
"111.53611_221.9",1480
"112.00574_35.6",317
"112.0173_400.7",463
"112.04999_248.4",2098
"112.0612_504.6",513
"112.07515_536.9",565
"112.07742_56",1119
"112.09895_53.3",403
"112.11161_568.9",233
"112.51892_545.1",369
"112.89516_42.2",507
"112.95522_472.7",1609
"112.96619_373.1",596
"112.97792_35",1022
"112.98711_53.4",430
"113.00657_169.5",219
"113.01611_397.7",182
"113.03718_273.6",1272
"113.05909_258.9",232
"113.10674_575.6",517
"113.96309_388.8",724
"114.03972_229.6",1230
"114.05441_45.5",340
"114.06559_515.3",445
"114.06574_40.2",351
"114.073_539.4",1172
"114.09079_356.3",439
"114.89223_42.3",438
"114.96641_393.7",1712
"115.0166_179.4",435
"115.05363_49.1",657
"115.06897_42.2",321
"115.07484_258.2",375
"115.09416_515.4",284
"115.95418_110.8",1015
"115.96353_389",1431
"116.01601_54.3",584
"116.0361_327",1191
"116.05212_524.8",325
"116.07001_406.7",447
"116.07006_46.1",221
"116.10647_310.3",326
"116.52344_192.6",744
"116.89032_42.9",430
"116.89204_432.8",516
"117.02782_470.5",256
"117.05671_45.9",497
"117.07346_85.3",210
"117.09049_384.4",240
"117.1018_531.9",755
"117.10212_168",811
"117.10982_353.3",686
"117.13832_363.5",700
"117.75015_538.1",349
"117.99679_38.7",563
"118.05379_344.5",880
"118.06017_60.8",1894
"118.06454_48.6",753
"118.08572_46.7",389
"118.12202_353",318
"118.68284_296.9",388
"118.98324_171.3",292
"119.013_335.5",415
"119.05973_561.7",334
"119.06784_47",292
"119.08893_83.9",377
"119.12532_359.2",450
"119.52228_553.5",231
"120.01061_544.1",549
"120.02488_478.5",1047
"120.06482_66.8",391
"120.08017_534.9",144
"120.12785_367.9",644
"121.00207_240.9",240
"121.02755_256.5",200
"121.07135_46.6",394
"121.07525_521.5",420
"121.08802_546.9",265
"121.1006_518.1",354
"121.12939_207.2",274
"121.55608_90.4",1912
"121.96564_549.3",369
"121.97379_42.2",291
"122.0243_186.1",615
"122.05924_231.7",274
"122.09573_387.9",349
"122.20556_516.3",2274
"122.92394_40.2",256
"123.0405_241.8",274
"123.05466_364.5",497
"123.07841_391.8",909
"123.09106_543.9",614
"123.09108_48.1",373
"123.09917_573.7",325
"123.11623_414.6",507
"123.96374_552.9",407
"123.97081_42.8",279
"124.05841_535",494
"124.08619_324.2",405
"124.20997_393.2",425
"124.89679_54.7",342
"124.92206_40.3",334
"124.95564_306.1",387
"124.96386_552.6",379
"124.99911_380.2",689
"125.03725_37.2",461
"125.059_264.5",370
"125.0703_89.8",365
"125.08959_568.6",683
"125.08973_42.9",1828
"125.10682_49.2",276
"125.96349_384.3",582
"125.98565_34.5",1209
"126.02133_46.8",300
"126.05459_291.2",373
"126.09292_550.3",306
"126.12708_553.1",604
"126.89468_52.6",895
"126.97135_379.6",697
"126.98896_60.9",593
"127.00217_35.3",406
"127.03811_246.1",246
"127.07464_273.1",371
"127.0859_519.1",466
"127.11097_306",397
"127.13147_521.3",707
"127.27446_406",348
"127.95318_383.5",867
"127.97877_48.5",213
