"mz","time","PeakID","Module_RTclust"
100.05802,385.1,"Peak55","17_28"
100.05805,48.1,"Peak56","21_2"
100.07509,379.3,"Peak57","3_25"
100.0751,56.6,"Peak58","3_1"
100.11136,375.8,"Peak59","50_23"
100.5093,397.7,"Peak60","15_33"
100.91635,42.9,"Peak61","27_1"
1000.21435,442.2,"Peak9310","47_26"
1000.27412,39.9,"Peak9311","19_1"
1000.50725,529.4,"Peak9313","19_40"
1000.59096,39.5,"Peak9315","15_1"
1000.62086,107.8,"Peak9316","47_4"
1000.74047,39.9,"Peak9317","19_1"
1000.7943,410.1,"Peak9318","47_24"
1001.01565,523,"Peak9319","19_40"
1001.50049,441.1,"Peak9321","47_26"
1001.62625,111.1,"Peak9323","47_4"
1001.6502,375.4,"Peak9324","17_27"
1002.01564,509.9,"Peak9327","47_29"
1002.52519,441.6,"Peak9331","37_27"
1002.58516,437.2,"Peak9332","47_26"
1002.65714,379.9,"Peak9333","50_24"
1002.69313,422.2,"Peak9334","36_27"
1002.78311,39.4,"Peak9336","45_1"
1003.07714,446.4,"Peak9338","47_26"
1003.16118,393.9,"Peak9339","17_29"
1003.57549,362.1,"Peak9340","47_19"
1003.6716,396.4,"Peak9341","50_25"
1003.7497,37.6,"Peak9343","18_1"
1004.15236,408.5,"Peak9345","20_26"
1004.23653,39.9,"Peak9346","40_1"
1004.45301,39.8,"Peak9347","37_1"
1004.48909,507.1,"Peak9348","47_29"
1004.57932,361.6,"Peak9350","47_19"
1004.66956,39.5,"Peak9351","39_1"
1004.67557,405.6,"Peak9352","50_26"
1004.71167,424,"Peak9353","7_40"
1005.03665,575.1,"Peak9354","3_45"
1005.40394,395.5,"Peak9355","50_25"
1005.49429,509.5,"Peak9356","47_29"
1005.57863,361.7,"Peak9357","47_19"
1005.68105,428.2,"Peak9358","50_27"
1005.78952,36.9,"Peak9359","24_1"
1006.02458,527.4,"Peak9360","47_30"
1006.22958,40.6,"Peak9361","47_1"
1006.29592,38.8,"Peak9362","2_1"
1006.49496,512.2,"Peak9363","47_29"
1006.58546,361.5,"Peak9364","47_19"
1006.68804,429.8,"Peak9365","50_27"
1006.75442,37.7,"Peak9366","27_1"
1007.25551,36.9,"Peak9368","17_1"
1007.49109,511.2,"Peak9369","47_29"
1007.60589,358.5,"Peak9370","1_39"
1007.76,37.4,"Peak9371","39_1"
1008.22858,514.8,"Peak9374","47_29"
1008.53106,37,"Peak9378","33_1"
1008.61577,38.8,"Peak9379","40_1"
1008.6884,38.9,"Peak9380","19_1"
1008.76103,38.3,"Peak9381","2_1"
1008.8034,40.2,"Peak9382","9_1"
1008.89421,512.9,"Peak9383","47_29"
1009.0032,527,"Peak9384","47_30"
1009.22728,509.7,"Peak9385","47_29"
1009.30603,37.1,"Peak9386","3_1"
1009.48173,508.5,"Peak9387","47_29"
1009.57263,51.8,"Peak9388","36_2"
1009.62111,342,"Peak9389","33_23"
1009.87572,512.4,"Peak9391","20_34"
101.01076,447.5,"Peak62","19_32"
